ID,Internal Reference,Point of Sale Category,Sales Price,Cost,Updated Sales Price,Updated Cost,Status
point_of_sale.AA141018,AA141018,Bajaj / 3W,2230.0,2230.0,2230.0,2230.0,equal
point_of_sale.52JN0136,52JN0136,Bajaj / 2W,630.0,630.0,630.0,630.0,equal
point_of_sale.39177802,39177802,Bajaj / 2W,20.0,20.0,20.0,20.0,equal
point_of_sale.24130129,24130129,Bajaj / 3W,160.0,160.0,160.0,160.0,equal
point_of_sale.DD70023N,DD70023N,Bajaj / 2W,2470.0,2470.0,2470.0,2470.0,equal
point_of_sale.DS101277,DS101277,Bajaj / 2W,2700.0,2700.0,2700.0,2700.0,equal
point_of_sale.JC101034,JC101034,Bajaj / 2W,2920.0,2920.0,2920.0,2920.0,equal
point_of_sale.DJ101216,DJ101216,Bajaj / 2W,2480.0,2480.0,2480.0,2480.0,equal
point_of_sale.DD101407,DD101407,Bajaj / 2W,2300.0,2300.0,2300.0,2300.0,equal
point_of_sale.JE521016,JE521016,Bajaj / 2W,2430.0,2430.0,2430.0,2430.0,equal
point_of_sale.JW351400,JW351400,Bajaj / 2W,1390.0,1390.0,1390.0,1390.0,equal
point_of_sale.DT161204,DT161204,Bajaj / 2W,1940.0,1940.0,1940.0,1940.0,equal
__export__.product_template_50302_02e161d8,CMUJD161200,Bajaj / 2W,470.0,470.0,470.0,470.0,equal
point_of_sale.JD161200,JD161200,Bajaj / 2W,1790.0,1790.0,1790.0,1790.0,equal
point_of_sale.05101072,05101072,Bajaj / 3W,380.0,380.0,380.0,380.0,equal
point_of_sale.AB151063,AB151063,Bajaj / 3W,9680.0,9680.0,9680.0,9680.0,equal
point_of_sale.52DH1364,52DH1364,Bajaj / 2W,2680.0,2680.0,2680.0,2680.0,equal
point_of_sale.52DH1365,52DH1365,Bajaj / 2W,2690.0,2690.0,2690.0,2690.0,equal
point_of_sale.24161368,24161368,Bajaj / 3W,3200.0,3200.0,3200.0,3200.0,equal
point_of_sale.AA221033,AA221033,Bajaj / 3W,5470.0,5470.0,5470.0,5470.0,equal
point_of_sale.AA161309,AA161309,Bajaj / 3W,1200.0,1200.0,1200.0,1200.0,equal
point_of_sale.24121060,24121060,Bajaj / 3W,630.0,630.0,630.0,630.0,equal
point_of_sale.AP161047,AP161047,Bajaj / 3W,780.0,780.0,780.0,780.0,equal
point_of_sale.YPF19002,YPF19002,Bajaj / 2W,2940.0,2940.0,2940.0,2940.0,equal
point_of_sale.YPF19008,YPF19008,Bajaj / 2W,1900.0,1900.0,1900.0,1900.0,equal
point_of_sale.AB171013,AB171013,Bajaj / 3W,270.0,270.0,270.0,270.0,equal
point_of_sale.36PA0186,36PA0186,Bajaj / 2W,480.0,480.0,480.0,480.0,equal
point_of_sale.JG561218,JG561218,Bajaj / 2W,60.0,60.0,60.0,60.0,equal
point_of_sale.PA581227,PA581227,Bajaj / 2W,180.0,180.0,180.0,180.0,equal
point_of_sale.DL161023,DL161023,Bajaj / 2W,140.0,140.0,140.0,140.0,equal
point_of_sale.AL161385,AL161385,Bajaj / 3W,1830.0,1830.0,1830.0,1830.0,equal
point_of_sale.AA161219,AA161219,Bajaj / 3W,1840.0,1840.0,1840.0,1840.0,equal
point_of_sale.AA161328,AA161328,Bajaj / 3W,1310.0,1310.0,1310.0,1310.0,equal
point_of_sale.DH101607,DH101607,Bajaj / 2W,70.0,70.0,70.0,70.0,equal
point_of_sale.JW591028,JW591028,Bajaj / 2W,230.0,230.0,230.0,230.0,equal
point_of_sale.AA101055,AA101055,Bajaj / 3W,80.0,80.0,80.0,80.0,equal
point_of_sale.AA101058,AA101058,Bajaj / 3W,180.0,180.0,180.0,180.0,equal
point_of_sale.AA101156,AA101156,Bajaj / 3W,140.0,140.0,140.0,140.0,equal
point_of_sale.DS181033,DS181033,Bajaj / 2W,2380.0,2380.0,2380.0,2380.0,equal
point_of_sale.DS181034,DS181034,Bajaj / 2W,2610.0,2610.0,2610.0,2610.0,equal
point_of_sale.JB581258,JB581258,Bajaj / 2W,130.0,130.0,130.0,130.0,equal
point_of_sale.AA101361,AA101361,Bajaj / 3W,3305.0,3305.0,3305.0,3305.0,none
point_of_sale.AE101070,AE101070,Bajaj / 3W,800.0,800.0,800.0,800.0,equal
point_of_sale.AA101221,AA101221,Bajaj / 3W,340.0,340.0,340.0,340.0,equal
point_of_sale.24191096,24191096,Bajaj / 3W,1940.0,1940.0,1940.0,1940.0,equal
point_of_sale.DJ141074,DJ141074,Bajaj / 2W,710.0,710.0,710.0,710.0,equal
point_of_sale.DH121132,DH121132,Bajaj / 2W,1100.0,1100.0,1100.0,1100.0,equal
point_of_sale.PF581052,PF581052,Bajaj / 2W,910.0,910.0,910.0,910.0,equal
point_of_sale.PF121101,PF121101,Bajaj / 2W,8100.0,8100.0,8100.0,8100.0,equal
point_of_sale.DM181036,DM181036,Bajaj / 2W,10660.0,10660.0,10660.0,10660.0,equal
point_of_sale.JH121012,JH121012,Bajaj / 2W,5750.0,5750.0,5750.0,5750.0,equal
point_of_sale.DH181101,DH181101,Bajaj / 2W,12870.0,12870.0,12870.0,12870.0,equal
point_of_sale.JH121013,JH121013,Bajaj / 2W,5310.0,5310.0,5310.0,5310.0,equal
point_of_sale.JD181006,JD181006,Bajaj / 2W,1990.0,1990.0,1990.0,1990.0,equal
point_of_sale.JL181006,JL181006,Bajaj / 2W,4570.0,4570.0,4570.0,4570.0,equal
point_of_sale.JF181005,JF181005,Bajaj / 2W,4270.0,4270.0,4270.0,4270.0,equal
point_of_sale.DJ121089,DJ121089,Bajaj / 2W,170.0,170.0,170.0,170.0,equal
point_of_sale.AB151045,AB151045,Bajaj / 3W,1440.0,1440.0,1440.0,1440.0,equal
point_of_sale.DJ171033,DJ171033,Bajaj / 2W,400.0,400.0,400.0,400.0,equal
point_of_sale.JL151037,JL151037,Bajaj / 2W,19480.0,19480.0,19480.0,19480.0,equal
point_of_sale.DK181024,DK181024,Bajaj / 2W,11940.0,11940.0,11940.0,11940.0,equal
point_of_sale.JZ151036,JZ151036,Bajaj / 2W,10400.0,10400.0,10400.0,10400.0,equal
point_of_sale.JH121006,JH121006,Bajaj / 2W,7380.0,7380.0,7380.0,7380.0,equal
point_of_sale.JF121004,JF121004,Bajaj / 2W,10780.0,10780.0,10780.0,10780.0,equal
point_of_sale.PD582200,PD582200,Bajaj / 2W,6480.0,6480.0,6480.0,6480.0,equal
point_of_sale.DK181027,DK181027,Bajaj / 2W,11900.0,11900.0,11900.0,11900.0,equal
point_of_sale.PD151003,PD151003,Bajaj / 2W,4100.0,4100.0,4100.0,4100.0,equal
point_of_sale.DK181063,DK181063,Bajaj / 2W,12820.0,12820.0,12820.0,12820.0,equal
point_of_sale.24160916,24160916,Bajaj / 3W,1480.0,1480.0,1480.0,1480.0,equal
point_of_sale.DJ121051,DJ121051,Bajaj / 2W,5980.0,5980.0,5980.0,5980.0,equal
point_of_sale.36AA4102,36AA4102,Bajaj / 3W,5950.0,5950.0,5950.0,5950.0,equal
point_of_sale.JE511202,JE511202,Bajaj / 2W,220.0,220.0,220.0,220.0,equal
point_of_sale.28121044,28121044,Bajaj / 3W,1430.0,1430.0,1430.0,1430.0,equal
point_of_sale.AA121147,AA121147,Bajaj / 3W,100.0,100.0,100.0,100.0,equal
point_of_sale.JD511202,JD511202,Bajaj / 2W,2380.0,2380.0,2380.0,2380.0,equal
point_of_sale.JH511203,JH511203,Bajaj / 2W,450.0,450.0,450.0,450.0,equal
point_of_sale.JE511201,JE511201,Bajaj / 2W,2580.0,2580.0,2580.0,2580.0,equal
point_of_sale.BF511281,BF511281,Bajaj / QUTE,660.0,660.0,660.0,660.0,equal
point_of_sale.AA102088,AA102088,Bajaj / 3W,1250.0,1250.0,1250.0,1250.0,equal
point_of_sale.JL511010,JL511010,Bajaj / 2W,2270.0,2270.0,2270.0,2270.0,equal
point_of_sale.PA511228,PA511228,Bajaj / 2W,1480.0,1480.0,1480.0,1480.0,equal
point_of_sale.JE511200,JE511200,Bajaj / 2W,1800.0,1800.0,1800.0,1800.0,equal
point_of_sale.36JZ0102,36JZ0102,Bajaj / 2W,4340.0,4340.0,4340.0,4340.0,equal
point_of_sale.36AN0013,36AN0013,Bajaj / 3W,3720.0,3720.0,3720.0,3720.0,equal
point_of_sale.36311028,36311028,Bajaj / 2W,3700.0,3700.0,3700.0,3700.0,equal
point_of_sale.36AA4033,36AA4033,Bajaj / 3W,4750.0,4750.0,4750.0,4750.0,equal
point_of_sale.GL171031,GL171031,Bajaj / QUTE,590.0,590.0,590.0,590.0,equal
point_of_sale.JU511214,JU511214,Bajaj / 2W,470.0,470.0,470.0,470.0,equal
point_of_sale.DP101019,DP101019,Bajaj / 2W,1400.0,1400.0,1400.0,1400.0,equal
point_of_sale.JB402401,JB402401,Bajaj / 2W,2440.0,2440.0,2440.0,2440.0,equal
point_of_sale.JC201043,JC201043,Bajaj / 2W,3320.0,3320.0,3320.0,3320.0,equal
point_of_sale.43010035,43010035,Bajaj / 3W,1430.0,1430.0,1430.0,1430.0,equal
point_of_sale.PD181222,PD181222,Bajaj / 2W,2340.0,2340.0,2340.0,2340.0,equal
point_of_sale.31121006,31121006,Bajaj / 3W,60.0,60.0,60.0,60.0,equal
point_of_sale.DS101179,DS101179,Bajaj / 2W,100.0,100.0,100.0,100.0,equal
point_of_sale.24101414,24101414,Bajaj / 3W,190.0,190.0,190.0,190.0,equal
point_of_sale.01100719,01100719,Bajaj / 2W,20.0,20.0,20.0,20.0,none
point_of_sale.01100323,01100323,Bajaj / 2W,5.0,5.0,5.0,5.0,none
point_of_sale.24151297,24151297,Bajaj / 3W,270.0,270.0,270.0,270.0,equal
point_of_sale.39023811,39023811,Bajaj / 3W,5.0,5.0,5.0,5.0,none
point_of_sale.39105711,39105711,Bajaj / 3W,140.0,140.0,140.0,140.0,equal
point_of_sale.31151029,31151029,Bajaj / 2W,60.0,60.0,60.0,60.0,equal
point_of_sale.39071111,39071111,Bajaj / 3W,15.0,15.0,15.0,15.0,equal
point_of_sale.DJ191026,DJ191026,Bajaj / 2W,60.0,60.0,60.0,60.0,equal
point_of_sale.39161211,39161211,Bajaj / 3W,160.0,160.0,160.0,160.0,equal
point_of_sale.39260011,39260011,Bajaj / 2W,180.0,180.0,180.0,180.0,equal
point_of_sale.39162011,39162011,Bajaj / 2W,15.0,15.0,15.0,15.0,equal
point_of_sale.AF121058,AF121058,Bajaj / 3W,10.0,10.0,10.0,10.0,equal
point_of_sale.59120003,59120003,Bajaj / 2W,70.0,70.0,70.0,70.0,equal
point_of_sale.24121315,24121315,Bajaj / 3W,15.0,15.0,15.0,15.0,equal
point_of_sale.DK101237,DK101237,Bajaj / 2W,90.0,90.0,90.0,90.0,equal
point_of_sale.PF131220,PF131220,Bajaj / 2W,120.0,120.0,120.0,120.0,equal
point_of_sale.DX151018,DX151018,Bajaj / 2W,50.0,50.0,50.0,50.0,equal
point_of_sale.DK181018,DK181018,Bajaj / 2W,80.0,80.0,80.0,80.0,equal
point_of_sale.DD101475,DD101475,Bajaj / 2W,60.0,60.0,60.0,60.0,equal
point_of_sale.JA551004,JA551004,Bajaj / 2W,40.0,40.0,40.0,40.0,equal
point_of_sale.24121068,24121068,Bajaj / 3W,50.0,50.0,50.0,50.0,equal
point_of_sale.39071411,39071411,Bajaj / 2W,40.0,40.0,40.0,40.0,equal
point_of_sale.DU101066,DU101066,Bajaj / 2W,95.0,95.0,95.0,95.0,equal
point_of_sale.JL601010,JL601010,Bajaj / 2W,960.0,960.0,960.0,960.0,equal
point_of_sale.DJ181011,DJ181011,Bajaj / 2W,1540.0,1540.0,1540.0,1540.0,equal
point_of_sale.DL181010,DL181010,Bajaj / 2W,200.0,200.0,200.0,200.0,equal
point_of_sale.JG181236,JG181236,Bajaj / 2W,200.0,200.0,200.0,200.0,equal
point_of_sale.JZ181003,JZ181003,Bajaj / 2W,220.0,220.0,220.0,220.0,equal
point_of_sale.JC151013,JC151013,Bajaj / 2W,51960.0,51960.0,51960.0,51960.0,equal
point_of_sale.PA131241,PA131241,Bajaj / 2W,45300.0,45300.0,45300.0,45300.0,equal
point_of_sale.PA131204,PA131204,Bajaj / 2W,54200.0,54200.0,54200.0,54200.0,equal
point_of_sale.DK151050,DK151050,Bajaj / 2W,20920.0,20920.0,20920.0,20920.0,equal
point_of_sale.JC151010,JC151010,Bajaj / 2W,22790.0,22790.0,22790.0,22790.0,equal
point_of_sale.AA101471,AA101471,Bajaj / 3W,1830.0,1830.0,1830.0,1830.0,equal
point_of_sale.JA551414,JA551414,Bajaj / 2W,1680.0,1680.0,1680.0,1680.0,equal
point_of_sale.DP101107,DP101107,Bajaj / 2W,2470.0,2470.0,2470.0,2470.0,equal
point_of_sale.JB551408,JB551408,Bajaj / 2W,1680.0,1680.0,1680.0,1680.0,equal
point_of_sale.DD101492,DD101492,Bajaj / 2W,1750.0,1750.0,1750.0,1750.0,equal
point_of_sale.AB151090,AB151090,Bajaj / 3W,5120.0,5120.0,5120.0,5120.0,equal
point_of_sale.24151045,24151045,Bajaj / 3W,470.0,470.0,470.0,470.0,equal
point_of_sale.PD131007,PD131007,Bajaj / 2W,13260.0,13260.0,13260.0,13260.0,equal
point_of_sale.PA131021,PA131021,Bajaj / 2W,39880.0,39880.0,39880.0,39880.0,equal
point_of_sale.DH151077,DH151077,Bajaj / 2W,53760.0,53760.0,53760.0,53760.0,equal
point_of_sale.JH131001,JH131001,Bajaj / 2W,21130.0,21130.0,21130.0,21130.0,equal
point_of_sale.PA131010,PA131010,Bajaj / 2W,12530.0,12530.0,12530.0,12530.0,equal
point_of_sale.JZ131041,JZ131041,Bajaj / 2W,47320.0,47320.0,47320.0,47320.0,equal
point_of_sale.PA131274,PA131274,Bajaj / 2W,7960.0,7960.0,7960.0,7960.0,equal
point_of_sale.JZ131286,JZ131286,Bajaj / 2W,47310.0,47310.0,47310.0,47310.0,equal
point_of_sale.JF131206,JF131206,Bajaj / 2W,20870.0,20870.0,20870.0,20870.0,equal
point_of_sale.06150302,06150302,Bajaj / 2W,3120.0,3120.0,3120.0,3120.0,none
point_of_sale.22151090,22151090,Bajaj / 3W,2260.0,2260.0,2260.0,2260.0,none
point_of_sale.24151285,24151285,Bajaj / 3W,9620.0,9620.0,9620.0,9620.0,equal
point_of_sale.52240765,52240765,Bajaj / 3W,7480.0,7480.0,7480.0,7480.0,equal
point_of_sale.SVA0022B,SVA0022B,Bajaj / 3W,1010.0,1010.0,1010.0,1010.0,equal
point_of_sale.SVA0022R,SVA0022R,Bajaj / 3W,1010.0,1010.0,1010.0,1010.0,equal
point_of_sale.31101135,31101135,Bajaj / 2W,1990.0,1990.0,1990.0,1990.0,equal
point_of_sale.36AA4058,36AA4058,Bajaj / 3W,34980.0,34980.0,34980.0,34980.0,equal
point_of_sale.JL541227,JL541227,Bajaj / 2W,580.0,580.0,580.0,580.0,equal
point_of_sale.DJ181033,DJ181033,Bajaj / 2W,3240.0,3240.0,3240.0,3240.0,equal
point_of_sale.JK181001,JK181001,Bajaj / 2W,2800.0,2800.0,2800.0,2800.0,equal
point_of_sale.JN181001,JN181001,Bajaj / 2W,3130.0,3130.0,3130.0,3130.0,equal
point_of_sale.PA181281,PA181281,Bajaj / 2W,3640.0,3640.0,3640.0,3640.0,equal
point_of_sale.JZ181237,JZ181237,Bajaj / 2W,4280.0,4280.0,4280.0,4280.0,equal
point_of_sale.JD181240,JD181240,Bajaj / 2W,1570.0,1570.0,1570.0,1570.0,equal
point_of_sale.JH181215,JH181215,Bajaj / 2W,3190.0,3190.0,3190.0,3190.0,equal
point_of_sale.JL181426,JL181426,Bajaj / 2W,8280.0,8280.0,8280.0,8280.0,equal
point_of_sale.DU181031,DU181031,Bajaj / 2W,3220.0,3220.0,3220.0,3220.0,equal
point_of_sale.JL181008,JL181008,Bajaj / 2W,3020.0,3020.0,3020.0,3020.0,equal
point_of_sale.DS181066,DS181066,Bajaj / 2W,3580.0,3580.0,3580.0,3580.0,equal
point_of_sale.DP181063,DP181063,Bajaj / 2W,3050.0,3050.0,3050.0,3050.0,equal
point_of_sale.52JD0067,52JD0067,Bajaj / 2W,11040.0,11040.0,11040.0,11040.0,equal
point_of_sale.22200832,22200832,Bajaj / 3W,45.0,45.0,45.0,45.0,none
point_of_sale.22230635,22230635,Bajaj / 3W,2190.0,2190.0,2190.0,2190.0,equal
point_of_sale.AA201152,AA201152,Bajaj / 3W,11150.0,11150.0,11150.0,11150.0,equal
point_of_sale.24190226,24190226,Bajaj / 3W,30.0,30.0,30.0,30.0,none
point_of_sale.AA201248,AA201248,Bajaj / 3W,18310.0,18310.0,18310.0,18310.0,equal
point_of_sale.DJ201201,DJ201201,Bajaj / 2W,33520.0,33520.0,33520.0,33520.0,equal
point_of_sale.AA201078,AA201078,Bajaj / 3W,2140.0,2140.0,2140.0,2140.0,equal
point_of_sale.DH201091,DH201091,Bajaj / 2W,9930.0,9930.0,9930.0,9930.0,equal
point_of_sale.24201279,24201279,Bajaj / 3W,3410.0,3410.0,3410.0,3410.0,equal
point_of_sale.01100611,01100611,Bajaj / 3W,70.0,70.0,70.0,70.0,equal
point_of_sale.01100610,01100610,Bajaj / 3W,80.0,80.0,80.0,80.0,equal
point_of_sale.AB111107,AB111107,Bajaj / 3W,3500.0,3500.0,3500.0,3500.0,equal
point_of_sale.DK141028,DK141028,Bajaj / 2W,110.0,110.0,110.0,110.0,equal
