"ID","Internal Reference","Point of Sale Category","Sales Price","Cost"
"__export__.product_template_50905_4fa0065f","DH102053(YL)","Third Party / Yellow Label","4920.0","4920.0"
"__export__.product_template_50904_2337a31f","DG161121(YL)","Third Party / Yellow Label","30.0","30.0"
"__export__.product_template_50900_883f0e83","35161060(YL)","Third Party / Yellow Label","50.0","50.0"
"__export__.product_template_50901_487f2166","36JZ0074(YL)","Third Party / Yellow Label","18910.0","18910.0"
"__export__.product_template_50907_cc8d139e","DS101402(YL)","Third Party / Yellow Label","17940.0","17940.0"
"__export__.product_template_50903_8568e10b","DF181098(YL)","Third Party / Yellow Label","50.0","50.0"
"__export__.product_template_50906_8b685a65","DL181010(YL)","Third Party / Yellow Label","95.0","95.0"
"__export__.product_template_50908_e61a8391","DS121137(YL)","Third Party / Yellow Label","1675.0","1675.0"
"__export__.product_template_50902_f054b5c7","DF121003(YL)","Third Party / Yellow Label","1630.0","1630.0"
"__export__.product_template_50909_4dc75ef7","DU101214(YL)","Third Party / Yellow Label","3740.0","3740.0"
